pos,Channel,Title,Uploaded,Views,Like,Dislike,Comment
1,LuisFonsiVEVO,Luis Fonsi - Despacito ft. Daddy Yankee,2017-01-13,6624768021.0,36268297, 4369278,3195874
2,Ed Sheeran,Ed Sheeran - Shape of You [Official Video],2017-01-30,4615121833.0,21983809, 1198672,  930480
3,Wiz Khalifa,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,2015-04-07,4406063311.0,26854397,   842923,1785923
4,MarkRonsonVEVO,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,2014-11-19,3772872081.0,13834260,   853640,  498164
5,officialpsy,PSY - GANGNAM STYLE(강남스타일) M/V,2012-07-15,3511790845.0,17112838, 2314256,5000267
6,JustinBieberVEVO,Justin Bieber - Sorry (PURPOSE : The Movement),2015-10-22,3246141404.0,12471490, 1552967,  824338
7,Maroon5VEVO,Maroon 5 - Sugar (Official Music Video),2015-01-14,3122675213.0,11146004,   498404,  351095
8,KatyPerryVEVO,Katy Perry - Roar (Official),2013-09-05,3003032014.0,10633559,   851111,  651846
9,OneRepublicVEVO,OneRepublic - Counting Stars (Official Music Video),2013-05-31,2916924187.0,10905535,   379834,  359547
10,Ed Sheeran,Ed Sheeran - Thinking Out Loud [Official Video],2014-10-07,2906824610.0,10863321,   484497,  306502
11,TaylorSwiftVEVO,Taylor Swift - Shake It Off,2014-08-18,2874397163.0, 8970031,   962289,  521107
12,EnriqueIglesiasVEVO,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)",2014-04-11,2817632682.0, 6831893,   498200,  215704
13,Major Lazer,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),2015-03-23,2734653729.0,11625354,   515396,  393534
14,KatyPerryVEVO,Katy Perry - Dark Horse (Official) ft. Juicy J,2014-02-20,2722069547.0, 9691721, 1111555,  644021
15,LooLoo Kids - Nursery Rhymes and Children's Songs,Johny Johny Yes Papa 👶 THE BEST Song for Children | LooLoo Kids,2016-10-08,2711440177.0, 6413487, 3866019,   91020
16,Alan Walker,Alan Walker - Faded,2015-12-04,2654698309.0,18663557,   500985,1045583
